Sentiment_Contrast,File
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
0.5,repz
2.0,repz
0.0,repz
-1.0,repz
2.0,repz
1.0,repz
1.5,repz
0.5,repz
0.0,repz
0.0,repz
2.0,repz
-1.3333333333333333,repz
-1.0,repz
-0.3333333333333333,repz
-1.0,repz
1.0,repz
0.0,repz
1.0,repz
0.0,repz
0.0,repz
1.0,repz
0.0,repz
2.0,repz
1.0,repz
-1.0,repz
0.0,repz
1.0,repz
-2.0,repz
-1.0,repz
0.0,repz
0.0,repz
0.0,repz
0.0,repz
1.5,repz
0.0,repz
1.6666666666666667,repz
-0.5,repz
-1.0,repz
1.0,repz
2.5,repz
0.0,repz
-0.5,repz
1.3333333333333333,repz
0.0,repz
0.0,repz
2.0,repz
0.0,repz
0.6666666666666666,repz
1.0,repz
-1.0,repz
0.0,repz
2.0,repz
0.0,repz
1.0,repz
0.0,repz
-0.5,repz
1.0,repz
0.0,repz
0.6000000000000001,repz
0.5,repz
2.0,demft
2.0,demft
1.0,demft
1.0,demft
2.0,demft
2.0,demft
1.5,demft
2.5,demft
1.0,demft
1.5,demft
2.5,demft
0.5,demft
1.3333333333333333,demft
2.5,demft
1.3333333333333333,demft
1.5,demft
2.0,demft
1.0,demft
2.125,demft
2.3333333333333335,demft
2.25,demft
0.5,demft
2.0,demft
2.0,demft
2.5,demft
3.0,demft
0.5,demft
2.0,demft
1.0,demft
0.5,demft
1.0,demft
1.0,demft
1.0,demft
2.0,demft
1.0,demft
0.6666666666666666,demft
4.0,demft
1.5,demft
1.0,demft
1.6428571428571428,demft
1.5,demft
1.0,demft
1.5,demft
1.5,demft
1.5,demft
1.5,demft
3.5,demft
1.0,demft
2.0,demft
2.0,demft
2.0,demft
3.0,demft
1.5,demft
2.0,demft
0.5,demft
2.0,demft
4.0,demft
1.5,demft
0.5,demft
1.5,demft
2.0,demft
2.5,demft
3.0,demft
1.5,demft
0.6666666666666666,demft
1.0,demft
1.0,demft
2.0,demft
1.5,demft
1.5,demft
2.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
1.5,demft
1.0,demft
2.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
2.0,demft
1.0,demft
0.0,demft
2.0,demft
0.0,demft
1.5,demft
1.5,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
4.0,demft
0.0,demft
1.0,demft
1.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
3.0,demft
0.0,demft
2.0,demft
1.0,demft
0.0,demft
0.0,demft
3.0,demft
1.0,demft
2.5,demft
2.0,demft
1.5,demft
2.0,demft
0.0,demft
0.0,demft
4.0,demft
1.0,demft
0.0,demft
0.0,demft
4.0,demft
2.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
2.0,demft
1.0,demft
1.0,demft
1.0,demft
1.5,demft
1.0,demft
2.0,demft
2.0,demft
1.3333333333333333,demft
1.0,demft
1.0,demft
3.0,demft
1.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
2.0,demft
0.0,demft
4.0,demft
2.0,demft
0.0,demft
0.0,demft
0.5,demft
1.0,demft
